fixture_id,syx_file,sy99_voice_name,element_mode_lcd,master_volume_wol_lcd,output_group_el1_lcd,notes,captured
01,01_init_anonim_07x1_voice.syx,ANONIM,1 AFM and 1 AWM,127,both,#203 det 0/0; #204-206 default; #208 both/both; #219 not recorded; El1 110 El2 127,2026-05-20
02,02_ap_crsrock_07x1_voice.syx,AP|CrsRock,1 AFM 1 AWM,107,both,#203 det El1 -1 El2 +2; #208 both/both; #202 total 107 El1/2 127; #204-206 #219 not recorded,2026-05-20
03,03_ep_classic_07x1_voice.syx,EP:Classic,2 AFM POLY,110,both,#203 det El1 +2 El2 -2; #204-206 default; #208 both/both; #219 FX send El1 lines 1+3 lvl 127 El2 lines 1+3 lvl 127,2026-05-20
